Id,PostTypeId,CreationDate,Title,OwnerUserId,Tags,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount
"82518","1","2020-10-03 19:21:11","Confusion matrix to check results","105599","<machine-learning><confusion-matrix>","2","98","2","0",""
"82521","1","2020-10-03 19:39:05","Practical difference between Bayesian Neural Networks and Feed Forward Neural Network with Gaussian Noise","90979","<machine-learning><neural-network><bayesian><gaussian><bayesian-networks>","0","40","0","0",""
"82523","1","2020-10-03 19:57:42","Loss function in order to find the most certain samples","105600","<classification><loss-function><metric>","1","17","0","1",""
"82526","1","2020-10-03 21:56:04","Training a Variational Autoencoder (VAE) for Non-Uniform Random Number Generation","103063","<machine-learning><autoencoder><sampling><generative-models>","0","17","0","0",""
"82527","1","2020-10-03 21:56:59","Hypothesis Space of Bayes' Optimal Classifier?","105601","<naive-bayes-classifier><bayesian>","0","17","0","0",""
"82528","1","2020-10-03 22:44:01","model tuning by using loss curves","57328","<overfitting><mlp>","1","11","0","0",""
"82529","1","2020-10-03 23:25:59","How to improve model performace when model shows a systemic pattern in residues","101261","<data><data-science-model><ensemble-modeling><boosting>","2","31","0","1",""
"82530","1","2020-10-03 23:44:10","Help with type of ML problem: when training data is spread across different subgroups/categories","105604","<machine-learning>","4","59","1","0",""
"82533","1","2020-10-04 07:50:33","How to fit the LSTM model correctly with series data","103538","<machine-learning><deep-learning><keras><time-series><lstm>","0","22","0","0",""
"82534","1","2020-10-04 08:24:47","Do all autoencoders perform dimensionality reduction","105610","<neural-network><autoencoder><dimensionality-reduction>","1","19","0","0",""
"82539","1","2020-10-04 12:27:57","ValueError: cannot reshape array of size 136415664 into shape (2734,132,126,1)","37363","<numpy>","1","2335","1","0",""
"82540","1","2020-10-04 13:31:25","How can I make a better unsupervised text classifier model? Is POS tagging part of Machine Learning and Data science?","66605","<machine-learning><nlp><text-mining><data-science-model><text-classification>","1","30","0","6",""
"82541","1","2020-10-04 14:01:54","Brain Tumor Classification(yes/no) - Model performs extremely well on train and validation set but performs badly on test images from the internet","105622","<deep-learning><cnn>","0","18","0","0",""
"82547","1","2020-10-04 17:04:27","How much information is produced in our Society?","18930","<statistics><data><bigdata>","1","12","0","0",""
"82549","1","2020-10-04 17:40:50","Intuition behind CNN Training Accuracy being Different than Loaded Model predicted on same exact data","105432","<python><keras><tensorflow><training><convolutional-neural-network>","0","13","0","0",""
"82553","1","2020-10-04 18:52:02","Troubles Training a Faster R-CNN RPN using a Resnet 101 backbone in Pytorch","83877","<deep-learning><cnn><training><computer-vision><pytorch>","3","308","2","0",""
"82554","1","2020-10-04 18:54:37","(x, 0) in the negative half space","90132","<classification>","0","22","0","3",""
"82555","1","2020-10-04 19:33:19","Regression of citations by article title","105639","<nlp><regression><linear-regression>","0","18","0","4",""
"82557","1","2020-10-04 19:57:58","Standardizing binary decision with other scales (Like 1-5)","88745","<ranking><scoring><score>","1","28","0","0","2"
"82558","1","2020-10-04 20:17:13","How do I control sensor data readings against (measured) outside influences?","105640","<python><pandas><data-analysis>","1","26","1","0",""
"82560","1","2020-10-04 20:44:24","grid search result max_features = 'sqrt' in random forest - how to understand","96312","<python><scikit-learn><random-forest><features>","0","235","1","1",""
"82562","1","2020-10-05 01:10:53","LSTM Target Is Also One of It's Inputs?","105607","<deep-learning><time-series><lstm><rnn>","1","55","1","2",""
"82563","1","2020-10-05 01:10:54","Training with data from multiple tfrecords files simultaneously","","<tensorflow>","0","19","0","1",""
"82566","1","2020-10-05 01:53:11","How do I determine which variables contribute to the 1st PC in PCA?","105652","<pca><dimensionality-reduction>","0","108","1","0",""
"82569","1","2020-10-05 06:35:30","How to handle a valuable feature that is missing on 99\% of the samples in the data set?","105657","<feature-selection><feature-engineering><feature-extraction><correlation><missing-data>","1","31","1","1",""
"82570","1","2020-10-05 06:57:26","How to find the weights for weighted least squares regression?","100249","<machine-learning><regression><linear-regression>","0","46","1","0",""
"82576","1","2020-10-05 10:28:34","Tensorflow tokeniser: the maximum number of words to keep","49229","<tensorflow><tokenization>","0","14","0","0",""
"82577","1","2020-10-05 10:47:45","In smoothing of n-gram model in NLP, why don't we consider start and end of sentence tokens?","86594","<nlp><language-model><stanford-nlp><ngrams>","3","108","1","0","1"
"82582","1","2020-10-05 13:40:44","Using a random forest, would a RandomForest performance be less if I drop the first or the last tree?","41692","<random-forest><decision-trees><gradient-descent><performance>","3","766","3","2",""
"82583","1","2020-10-05 13:46:02","Is fitting two RandomForestClassifiers 500 trees each and average their predicted probabilities on the test set more performant than one with 1000?","41692","<decision-trees><performance>","1","49","2","1",""
"82588","1","2020-10-05 14:33:50","difference between scaling/normalizing data at a specific step","105674","<machine-learning><preprocessing><normalization><feature-scaling>","1","29","1","2",""
"82590","1","2020-10-05 15:06:24","For an n-Gram model with n>2, do we need more context at end of each sentence?","86594","<nlp><language-model><stanford-nlp><ngrams>","1","47","0","0",""
"82591","1","2020-10-05 15:11:16","Handling highly correlated features","105657","<feature-selection><feature-engineering><feature-extraction><correlation><feature-construction>","1","35","0","3","0"
"71848","1","2020-04-06 15:03:02","How to define tidy data if there is repeated measures?","94162","<time-series><data>","1","124","2","0",""
"71850","1","2020-04-06 15:32:42","Best approach to find optimal solution to linear equation by group in R","79227","<r><optimization>","1","89","1","7","1"
"71852","1","2020-04-06 16:06:14","computer science student - asking for some machine learning guiding (voice cloning)","94164","<machine-learning><neural-network><deep-learning><dataset><training>","1","51","1","0",""
"71854","1","2020-04-06 16:19:01","What type of Machine Learning to use?","93756","<neural-network><time-series><lstm><beginner>","1","27","0","2",""
"71856","1","2020-04-06 16:21:06","Custom functions and pipelines","89907","<machine-learning><python><cross-validation><transformer><pipelines>","2","102","1","2",""
"71859","1","2020-04-06 16:44:55","""Smearing"" probabilities or how to handle imprecise locations for canonically classification-type problems","94171","<classification><regression><predictive-modeling><probability><geospatial>","1","36","0","0",""
"71860","1","2020-04-06 16:47:53","Transposed Convolution without using Python built-in functions","94172","<gradient-descent><convolution><python-3.x><implementation>","1","67","0","0",""
